Nome	Constelação	Área de Influência	Interpretação (Astrologia Horária)	 
Sinistra	Nu (ν) Ophiuchus	Parcerias e união	Em Astrologia Horária, Sinistra tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Sirius	Alpha (α) Canis Major	Conhecimento e sabedoria	Em Astrologia Horária, Sirius tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Situla	chi (χ) Aquarius	Direção e propósito	Em Astrologia Horária, Situla tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Skat	Delta (δ) Aquarius	Viagens e deslocamentos	Em Astrologia Horária, Skat tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Spica	Alpha (α) Virgo	Conhecimento e sabedoria	Em Astrologia Horária, Spica tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Spiculum	M8, 18, 20, 21 Sagittarius, NGC6523	Parcerias e união	Em Astrologia Horária, Spiculum tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Sualocin	Alpha (α) Delphinus	Viagens e deslocamentos	Em Astrologia Horária, Sualocin tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Subra	Omicron (ο) Leo	Combate e estratégia	Em Astrologia Horária, Subra tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Sulaphat	Gamma (γ) Lyra	Conhecimento e sabedoria	Em Astrologia Horária, Sulaphat tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Syrma	Iota (ι) Virgo	Viagens e deslocamentos	Em Astrologia Horária, Syrma tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Tabit	pi3 (π3) Orion	Viagens e deslocamentos	Em Astrologia Horária, Tabit representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Talitha	Iota (ι) Ursa Major	Parcerias e união	Em Astrologia Horária, Talitha representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Tania Australis	Mu (μ) Ursa Major	Parcerias e união	Em Astrologia Horária, Tania Australis representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Tania Borealis	Lambda (λ) Ursa Major	Parcerias e união	Em Astrologia Horária, Tania Borealis representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Tarazed	Gamma (γ) Aquila	Parcerias e união	Em Astrologia Horária, Tarazed representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Taygeta	19 Taurus, or epsilon (ε)	Direção e propósito	Em Astrologia Horária, Taygeta representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Tejat Posterior	Mu (μ) Gemini	Viagens e deslocamentos	Em Astrologia Horária, Tejat Posterior representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Terebellum	Omega (ω) Sagittarius	Parcerias e união	Em Astrologia Horária, Terebellum representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Theemim	Upsilon (υ1) to upsilon (υ7 ) Eridanus	Conhecimento e sabedoria	Em Astrologia Horária, Theemim representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Thuban	Alpha (α) Draco	Viagens e deslocamentos	Em Astrologia Horária, Thuban representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Toliman	Alpha (α) Centaurus	Viagens e deslocamentos	Em Astrologia Horária, Toliman representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Tureis	Iota (ι) Carina in the Ship Argo Navis	Viagens e deslocamentos	Em Astrologia Horária, Tureis representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Tyl	Epsilon (ε) Draco	Viagens e deslocamentos	Em Astrologia Horária, Tyl representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Unukalhai	Alpha (α) Serpens	Conhecimento e sabedoria	Em Astrologia Horária, Unukalhai representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Vega	Alpha (α) Lyra	Conhecimento e sabedoria	Em Astrologia Horária, Vega representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Vertex	M31 Andromeda - NGC 224	Parcerias e união	Em Astrologia Horária, Vertex representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Vindemiatrix	Epsilon (ε) Virgo	Viagens e deslocamentos	Em Astrologia Horária, Vindemiatrix representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Wasat	Delta (δ) Gemini	Parcerias e união	Em Astrologia Horária, Wasat representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Wazn	Beta (β) Columba	Direção e propósito	Em Astrologia Horária, Wazn representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Wezen	Delta (δ) Canis Major	Combate e estratégia	Em Astrologia Horária, Wezen representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Yed Posterior	Epsilon (ε) Ophiuchus	Direção e propósito	Em Astrologia Horária, Yed Posterior representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Yed Prior	Delta (δ) Ophiuchus	Direção e propósito	Em Astrologia Horária, Yed Prior representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Yildun	Delta (δ) Ursa Minor	Direção e propósito	Em Astrologia Horária, Yildun representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Zaniah	Eta (η) Virgo	Conhecimento e sabedoria	Em Astrologia Horária, Zaniah representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Zaurak	Gamma (γ) Eridanus	Conhecimento e sabedoria	Em Astrologia Horária, Zaurak representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Zavijava	Beta (β) Virgo	Viagens e deslocamentos	Em Astrologia Horária, Zavijava representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Zibal	Zeta (ζ) Eridanus	Conhecimento e sabedoria	Em Astrologia Horária, Zibal representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Zuben Elakrab	Gamma (γ) Libra	Combate e estratégia	Em Astrologia Horária, Zuben Elakrab representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Zuben Elakribi	Delta (δ) Libra	Direção e propósito	Em Astrologia Horária, Zuben Elakribi representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Zuben Elgenubi	Alpha (α) Libra	Viagens e deslocamentos	Em Astrologia Horária, Zuben Elgenubi representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Zuben Hakrabi	Nu (ν) Libra	Direção e propósito	Em Astrologia Horária, Zuben Hakrabi representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
Zubenelschemali	Beta (β) Libra	Viagens e deslocamentos	Em Astrologia Horária, Zubenelschemali representa pontos decisivos em que clareza, estratégia e objetividade definem o sucesso da questão. Quando bem dignificada, traz proteção, apoio de aliados e uma direção clara para atingir metas. Pode indicar o momento certo para agir ou para consolidar planos de longo prazo. Se aflita, alerta para distrações, pressa ou escolhas baseadas em ilusões. Em temas de trabalho, pede planejamento; em relações, exige franqueza e limites firmes. É um indicativo de que simplicidade e foco são os melhores aliados para resultados duradouros.	 
